rank,id,name,category,klass,evidenceType,evi,hum,imp,safe,overall,tier,mechanism,evidence,effect,human,safety,dose,status,accessibility,caveats,hallmarks,keyStudies,sources
45,blue-zones-plant-forward,Blue Zones / Plant-Forward Pattern,diet,Whole-food plant-forward pattern,human-cohort,52,60,45,90,60,B,"Legume/whole-grain/vegetable-rich, low ultra-processed, moderate calories — reduces inflammation and improves the microbiome","The Blue Zones concept is observational and overlaps with RCT-supported diets (Mediterranean) and Adventist cohorts (vegetarians ~12% lower mortality). But the underlying centenarian demographics face serious data-quality critiques (missing birth records, pension fraud). A hypothesis-generating pattern.",Plant-forward cohorts ~12% lower mortality; Blue Zone magnitude disputed,Observational; overlaps with RCT-backed MedDiet; demographics contested,Very safe if well-planned; watch B12/iron/omega-3,"Plant-forward whole foods, daily legumes, minimal ultra-processed",Popular pattern (hypothesis-generating),lifestyle,Core longevity claims rest on disputed age records and confounded data,Chronic inflammation; Dysbiosis; Deregulated nutrient sensing; Altered intercellular communication,"Adventist Health Study-2, JAMA IM 2013 — Vegetarian patterns ~12% lower mortality (HR 0.88) [https://doi.org/10.1001/jamainternmed.2013.6473] | Newman, 2024 (critique) — Many extreme-age records attributable to error/fraud [https://doi.org/10.1101/704080]",https://doi.org/10.1001/jamainternmed.2013.6473 | https://doi.org/10.1101/704080
46,meditation-mindfulness,Meditation / Mindfulness,lifestyle,Stress-reduction practice,human-rct-surrogate,56,60,35,92,60,B,"Down-modulates HPA-axis and sympathetic tone, potentially lowering cortisol/inflammation that damage telomeres","Meta-analyses report small-to-moderate increases in telomerase activity and small reductions in inflammatory markers, but telomere-length effects are weak and the rigorous 18-month Age-Well RCT was null. Stress/well-being benefits are well established; biological-aging effects modest.",Modest telomerase increase; small inflammation reduction; telomere effect inconsistent,RCTs on biomarkers/well-being; biological-aging signal weak,Very safe; rare transient anxiety in intensive retreats,~10-40 min/day or MBSR (8 weeks),Established for stress; investigational for aging,lifestyle,Strongest biological-aging data from confounded long-term-meditator comparisons; RCTs largely null on telomeres,Chronic inflammation; Telomere attrition; Altered intercellular communication,Schutte & Malouff 2014 — Increased telomerase activity (d~0.46) [https://pubmed.ncbi.nlm.nih.gov/24636500/] | Age-Well RCT 2024 — No significant telomere effect [https://doi.org/10.1016/j.bpsgos.2024.100398],https://pubmed.ncbi.nlm.nih.gov/24636500/ | https://doi.org/10.1016/j.bpsgos.2024.100398
47,therapeutic-plasma-exchange,Therapeutic Plasma Exchange,therapy,Blood-fraction replacement,human-rct-hard,68,60,50,60,60,B,"Removing plasma and replacing with albumin dilutes pro-aging circulating factors, shifting the proteome younger",The AMBAR Phase 2b/3 RCT (n~347) in Alzheimer's found TPE with albumin slowed cognitive/functional decline vs sham — the strongest controlled evidence for any plasma-based aging-adjacent intervention. Effect was modest and disease-specific; biological-age data are preliminary.,"Slowed AD progression (modest, disease-specific); biological-age reduction reported in small study",One large RCT (Alzheimer's) + small biomarker studies; no general-aging RCT,"Generally well tolerated; hypotension, citrate reactions, line/infection risks",AMBAR: weekly x6 then monthly x12 months,FDA-approved (autoimmune neuro); anti-aging experimental,clinic-only,Best RCT is in Alzheimer's with modest effect; general anti-aging benefit hypothesis-driven,Altered intercellular communication; Chronic inflammation; Cellular senescence,"Boada et al., Alz & Dementia 2020 (AMBAR) — Slowed decline in moderate Alzheimer's vs sham [https://alz-journals.onlinelibrary.wiley.com/doi/10.1002/alz.12137]",https://alz-journals.onlinelibrary.wiley.com/doi/10.1002/alz.12137
48,spermidine,Spermidine,supplement,Natural polyamine (autophagy),human-cohort,56,58,42,86,59,B,"Induces autophagy, promoting cellular renewal and proteostasis",Best human evidence is observational: cohorts link higher dietary spermidine to lower all-cause/CV mortality. But the key RCT (SmartAge) was NULL — 12 months did not improve memory or biomarkers. Strong animal autophagy/lifespan data; human causal benefit unproven.,Strong cohort mortality association; RCT showed no cognitive effect,Strong cohort signal but rigorous RCT was null,Well tolerated; no notable adverse effects,"~1-6 mg/day (or diet: wheat germ, natto)",OTC supplement / food,otc,Cohort data likely confounded by diet quality; the one good RCT failed its endpoint,Disabled macroautophagy; Loss of proteostasis; Chronic inflammation,"Kiechl et al., AJCN 2018 (Bruneck) — Higher intake linked to markedly lower mortality [https://pubmed.ncbi.nlm.nih.gov/29955838/] | SmartAge RCT, JAMA Netw Open 2022 — NULL on memory/biomarkers at tested dose [https://doi.org/10.1001/jamanetworkopen.2022.13875]",https://pubmed.ncbi.nlm.nih.gov/29955838/ | https://doi.org/10.1001/jamanetworkopen.2022.13875
49,nac,N-Acetylcysteine (NAC),supplement,Cysteine donor,human-rct-surrogate,58,58,38,85,59,B,"Cysteine/glutathione precursor; replenishes glutathione, scavenges ROS","Solid disease-specific evidence (reduces COPD exacerbations; acetaminophen antidote), but aging-specific human data are confined to glutathione/oxidative surrogates and to GlyNAC. Mouse lifespan data come within GlyNAC.",COPD exacerbation reduction; aging effects surrogate-level,Strong for COPD/overdose; aging benefit mostly as GlyNAC component,Very safe orally; antioxidants may blunt some exercise adaptations,600-1800 mg/day,Rx drug + OTC supplement (US status contested),otc,Standalone anti-aging benefit unproven,Loss of proteostasis; Mitochondrial dysfunction; Chronic inflammation,COPD meta-analyses — ~10-25% fewer COPD exacerbations [https://doi.org/10.1183/16000617.00002215],https://doi.org/10.1183/16000617.00002215
50,selenium,Selenium,supplement,Essential trace mineral,human-rct-hard,78,70,22,58,59,B,Incorporated into selenoproteins (glutathione peroxidases) for antioxidant defense,"A cautionary U-shaped nutrient: the large SELECT RCT (n=35,533) found selenium did not prevent cancer. The statistically significant prostate-cancer increase in SELECT came from vitamin E, not selenium (selenium alone HR 1.09, NS); a diabetes signal with selenium comes mainly from the earlier NPC trial. Benefit appears confined to deficiency (e.g. with CoQ10 in KiSel-10); supplementing the replete is neutral.",No cancer-prevention benefit; benefit largely confined to deficiency,Large RCT (SELECT) shows no cancer-prevention benefit; harms with selenium alone were non-significant,Narrow window; frank excess causes selenosis; a diabetes signal seen in some trials (NPC); high-dose caution,~55 ug/day RDA; avoid high-dose if replete,OTC mineral (flagged for harm in repletion),otc,"Beneficial mainly in deficiency; high-dose carries selenosis/diabetes concern. Note: the significant prostate-cancer harm in SELECT was from vitamin E, not selenium.",Genomic instability; Chronic inflammation; Mitochondrial dysfunction,"SELECT, JAMA 2011 (n=35,533) — No cancer prevention; selenium alone NS for prostate cancer (HR 1.09); the significant increase was from vitamin E (HR 1.17) [https://pmc.ncbi.nlm.nih.gov/articles/PMC4169010/] | Alehagen et al., KiSel-10 — Selenium+CoQ10 cut CV mortality in selenium-deficient elderly [https://pubmed.ncbi.nlm.nih.gov/22626835/]",https://pmc.ncbi.nlm.nih.gov/articles/PMC4169010/ | https://pubmed.ncbi.nlm.nih.gov/22626835/
51,berberine,Berberine,botanical,Isoquinoline alkaloid,human-rct-surrogate,62,62,42,70,59,B,"AMPK activation with downstream effects on gluconeogenesis, lipogenesis and autophagy","Among botanicals this has strong mechanistic plausibility (genuine AMPK activator) and good human metabolic RCT data — meaningful reductions in fasting glucose, HbA1c, triglycerides and LDL, with glucose-lowering approaching metformin. Surrogate-only; bioavailability poor.",HbA1c ~-0.5-0.8% (up to ~1% at high baseline); meaningful lipid reductions,Good RCT/meta-analytic evidence for metabolic surrogates; no hard outcomes,GI effects in ~20-35%; potent CYP3A4/2D6 inhibitor (interactions); avoid in pregnancy,500 mg 2-3x/day with meals,OTC supplement (Rx in some countries),otc,"Poor bioavailability and notable drug interactions; metabolic adjunct, not metformin replacement",Deregulated nutrient sensing; Disabled macroautophagy; Chronic inflammation; Dysbiosis,T2D meta-analysis 2022 — Reduced FBG/HbA1c comparably to metformin [https://pubmed.ncbi.nlm.nih.gov/36467075/],https://pubmed.ncbi.nlm.nih.gov/36467075/
52,fasting-mimicking-diet,Fasting-Mimicking Diet,diet,Periodic low-calorie/low-protein cycles,human-rct-surrogate,56,56,50,80,59,B,"5-day low-cal/low-protein cycles mimic water-fast physiology — downregulate IGF-1/mTOR, induce autophagy and post-cycle regeneration","Longo's group reported 3-4 monthly FMD cycles lowered estimated biological age ~2.5 years and improved insulin resistance/liver fat across two cohorts. Surrogate (biological-age) endpoints, short-term, from groups with commercial interest; no hard outcomes.",~2.5-year reduction in estimated biological age; improved metabolic markers,Small RCTs/cohorts on biomarkers; industry-affiliated,Generally well tolerated; transient fatigue/hunger; caution in diabetes/frailty,"5-day low-cal cycles, repeated monthly x3",Investigational (commercial product),otc,"Biomarker-only endpoints, short follow-up, sponsor involvement; durability unproven",Deregulated nutrient sensing; Disabled macroautophagy; Stem cell exhaustion; Chronic inflammation,"Brandhorst/Longo, Nat Commun 2024 — 3-4 FMD cycles reduced biological age ~2.5 yr [https://doi.org/10.1038/s41467-024-45260-9]",https://doi.org/10.1038/s41467-024-45260-9
53,low-dose-aspirin,Low-dose Aspirin,pharma,COX inhibitor / antiplatelet,human-rct-hard,78,70,22,50,58,B,"Irreversibly inhibits COX-1/2, reducing thromboxane/prostaglandins (antiplatelet, anti-inflammatory)",A cautionary translation failure: a modest ITP mouse signal but the large ASPREE RCT found no benefit and numerically HIGHER all-cause mortality (cancer deaths) plus more major bleeding in healthy older adults.,Net harm in healthy elderly (all-cause HR ~1.14),Negative/harmful for primary prevention; benefit only in secondary prevention,Major risk is GI/intracranial haemorrhage,75-100 mg/d (not advised for primary prevention),OTC; not supported for healthy-aging prevention,otc,Animal-to-human translation failure; net harm in healthy elderly,Chronic inflammation; Altered intercellular communication,"ASPREE, NEJM 2018 (n=19,114) — No disability-free-survival benefit; all-cause mortality HR 1.14; more haemorrhage [https://doi.org/10.1056/NEJMoa1800722] | Strong et al., ITP 2008 — +8% male mouse median lifespan [https://doi.org/10.1111/j.1474-9726.2008.00414.x]",https://doi.org/10.1056/NEJMoa1800722 | https://doi.org/10.1111/j.1474-9726.2008.00414.x
54,glynac,GlyNAC (Glycine + NAC),supplement,Glutathione-precursor stack,human-rct-surrogate,52,52,48,84,58,B,"Supplies both glutathione precursors, restoring redox, mitochondrial function and lowering inflammation","Baylor (Sekhar) RCTs in older adults show GlyNAC corrects glutathione deficiency and improves a broad panel of aging surrogates (oxidative stress, inflammation, insulin resistance, gait, strength). But trials are small, single-lab and biomarker-based; mouse lifespan +24%.",Large improvements in oxidative-stress/inflammation/insulin-resistance surrogates,Promising small RCTs; needs large independent replication,Well tolerated; high amino-acid load,~100 mg/kg glycine + 100 mg/kg NAC,OTC (separate or combo),otc,Small single-lab studies with dramatic biomarker claims; effects likely shrink in larger trials,Mitochondrial dysfunction; Loss of proteostasis; Chronic inflammation; Deregulated nutrient sensing,"Kumar et al., J Gerontol 2023 RCT — Improved glutathione, oxidative stress, gait, strength, cognition vs placebo [https://pmc.ncbi.nlm.nih.gov/articles/PMC9879756/]",https://pmc.ncbi.nlm.nih.gov/articles/PMC9879756/
55,sulforaphane,Sulforaphane,supplement,Isothiocyanate (Nrf2 activator),human-rct-surrogate,56,58,38,84,58,B,"Activates Keap1-Nrf2-ARE, inducing endogenous antioxidant/detox enzymes","The prototypical dietary Nrf2 activator with many small RCTs showing reproducible Nrf2-target induction, lowered fasting glucose/HbA1c in diabetics (via reduced hepatic glucose output), and lower inflammatory markers. Results are biomarker-level and variable; bioavailability depends heavily on formulation.",Modest glycaemic and oxidative/inflammatory improvements; reliable Nrf2 induction,Many small RCTs on surrogates,Generally safe; GI upset; bioavailability varies hugely,~10-40 mg/day (myrosinase-active),OTC supplement / functional food,otc,Highly variable bioavailability; no longevity outcome data despite strong mechanism,Chronic inflammation; Genomic instability; Loss of proteostasis,"Axelsson et al., Sci Transl Med 2017 — Lowered fasting glucose/HbA1c in type-2 diabetes [https://pubmed.ncbi.nlm.nih.gov/28615356/]",https://pubmed.ncbi.nlm.nih.gov/28615356/
56,ergothioneine,Ergothioneine,supplement,Sulfur amino-acid antioxidant,human-cohort,56,55,40,86,58,B,Cytoprotective antioxidant accumulated via a dedicated transporter in high-stress tissues,A proposed 'longevity vitamin' (humans have a dedicated transporter). Strongest data are cohort — higher plasma ergothioneine predicted lower CV and all-cause mortality over 21 years. Compelling but observational; intervention evidence only early-stage.,All-cause mortality ~-14% per SD (cohort),Strong cohort/mechanistic case; intervention RCTs early-stage,Appears very safe; accumulates selectively,~5-30 mg/day (or mushrooms),OTC supplement (GRAS),otc,Mortality data associational; whether supplementing replicates the cohort benefit is unproven,Chronic inflammation; Mitochondrial dysfunction; Genomic instability,"Smith et al., Heart 2019 (Malmo) — Higher plasma EGT: all-cause mortality HR ~0.86 over 21 yr [https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7229907/]",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7229907/
57,collagen-peptides,Collagen Peptides,supplement,Hydrolyzed structural protein,human-rct-surrogate,56,60,30,90,58,B,Provides glycine/proline + bioactive peptides that may signal fibroblast collagen synthesis,"For skin aging the evidence is reasonably solid: meta-analyses of RCTs find ~3 months improves skin hydration, elasticity and wrinkles; joint data are positive but variable. Many trials are industry-funded; endpoints cosmetic/functional, not longevity.",Measurable skin elasticity/hydration gains; modest joint relief,Multiple positive RCTs on skin; weaker on joints,Very safe,2.5-15 g/day,OTC supplement / food,otc,Mostly cosmetic surrogates and industry-funded; no evidence it affects systemic aging,Altered intercellular communication; Stem cell exhaustion,"Skin-aging meta-analysis, Am J Med 2025 — Improved hydration, elasticity, fewer wrinkles vs placebo [https://www.amjmed.com/article/S0002-9343(25)00283-9/abstract]",https://www.amjmed.com/article/S0002-9343(25)00283-9/abstract
58,acarbose,Acarbose,pharma,Alpha-glucosidase inhibitor,animal-itp,64,35,60,72,57,B,Blunts post-prandial glucose spikes by slowing carbohydrate digestion (CR-mimetic),"One of the most reproducible ITP hits, with a striking male-biased lifespan extension confirmed across doses and sites. Combined with rapamycin it produced one of the largest ITP effects on record. No human longevity data.","+22% male median lifespan (mice, ITP)",No human longevity trial; glycemic surrogate data only,Metabolically well tolerated; dose-dependent flatulence/diarrhea limit adherence,~25-100 mg with carb meals (extrapolated),FDA-approved (diabetes); experimental for longevity,rx,Robust in mice but male-specific; zero human lifespan data; GI side effects,Deregulated nutrient sensing; Chronic inflammation,"Harrison et al., Aging Cell 2014 (ITP) — +22% male / +5% female median lifespan [https://doi.org/10.1111/acel.12170] | Strong et al., Aging Cell 2022 (ITP) — Rapamycin+acarbose ~+37% male median lifespan [https://doi.org/10.1111/acel.13724]",https://doi.org/10.1111/acel.12170 | https://doi.org/10.1111/acel.13724
59,canagliflozin,Canagliflozin,pharma,SGLT2 inhibitor,animal-itp,62,50,55,60,57,B,"Blocks renal glucose reabsorption, inducing a mild fasting-like metabolic state","An ITP success in males — extended male mouse lifespan and delayed tumours, with no female lifespan effect. The SGLT2 class has strong human CV/kidney mortality data, but canagliflozin specifically carries an amputation-risk signal.","+14% male median lifespan (mice, ITP)",No longevity RCT; class CV/renal mortality benefit in disease,"Genital infections, volume depletion, euglycemic DKA; amputation/fracture signal unique to canagliflozin",100-300 mg/day (therapeutic),FDA-approved (diabetes/CKD); experimental for longevity,rx,Male-only mouse benefit; amputation signal makes other SGLT2i safer; no human aging data,Deregulated nutrient sensing; Chronic inflammation; Altered intercellular communication,"Miller et al., ITP 2020 — +14% male median lifespan; no female effect; delayed neoplasia [https://doi.org/10.1172/jci.insight.140019] | CANVAS, NEJM 2017 — Lower MACE but ~2x amputation risk in diabetics [https://doi.org/10.1056/NEJMoa1611925]",https://doi.org/10.1172/jci.insight.140019 | https://doi.org/10.1056/NEJMoa1611925
60,alpha-lipoic-acid,Alpha-Lipoic Acid,supplement,Organosulfur antioxidant,human-rct-surrogate,56,56,35,82,57,B,Universal antioxidant; regenerates other antioxidants; mitochondrial cofactor; AMPK effects,"Best evidence is for diabetic neuropathy (symptom improvement short-term), though the long-term NATHAN-1 RCT missed its primary endpoint. Other RCTs show reduced oxidative markers and modest metabolic improvement. Aging-specific data absent.",Symptomatic neuropathy improvement; modest metabolic effects,RCTs in neuropathy/metabolic disease; no aging data,Generally safe; can lower glucose; rare insulin-autoimmune syndrome,300-600 mg/day,OTC supplement (Rx for neuropathy abroad),otc,"Evidence is disease-specific, not longevity; flagship neuropathy RCT missed its primary endpoint",Mitochondrial dysfunction; Chronic inflammation; Deregulated nutrient sensing,"Ziegler et al., NATHAN-1, Diab Care 2011 — Missed primary endpoint; improved some neuropathy measures [https://diabetesjournals.org/care/article/34/9/2054/38685/]",https://diabetesjournals.org/care/article/34/9/2054/38685/
61,infrared-sauna,Infrared Sauna,thermal,Radiant heat therapy,human-rct-surrogate,52,56,42,82,57,B,"Lower-temperature radiant heat raises core temperature, improving endothelial function and cardiac output","Best evidence is the Japanese Waon-therapy program in chronic heart failure — small RCTs show improved cardiac function, exercise tolerance and lower BNP. Surrogate/functional endpoints in disease populations, mostly from one research group; no healthy-population longevity data.",CHF: improved ejection fraction/BNP/6-min walk; healthy longevity effect unknown,RCTs positive in heart failure; no healthy-population longevity data,Generally safe; lower thermal load than traditional sauna,Waon: ~60C 15 min + 30 min rest,"Clinical (Japan, CHF); consumer units unregulated",lifestyle,Most positive data from one group in heart-failure patients; consumer units differ from clinical Waon,Altered intercellular communication; Chronic inflammation,"Tei/Kihara, Waon therapy (CHF) — Improved cardiac function and exercise tolerance in CHF [https://pubmed.ncbi.nlm.nih.gov/11869837/]",https://pubmed.ncbi.nlm.nih.gov/11869837/
62,dasatinib-quercetin,Senolytics: Dasatinib + Quercetin,senolytic,Senolytic combination,human-rct-surrogate,56,46,68,55,56,B,Transiently kills senescent cells by disabling their pro-survival pathways,"The best-validated senolytic combination in humans, but evidence is early-phase and mostly on biomarkers/feasibility. Small trials show reduced senescent-cell burden (diabetic kidney disease) and improved physical function (IPF); a 2025 Alzheimer's pilot was single-arm. No placebo-controlled hard-outcome win yet.",Large in mice (healthspan); human clinical benefit unproven,"Small early-phase RCTs; target engagement shown, efficacy not","Dasatinib (a chemo drug) carries cytopenias, effusions, bleeding risk; intermittent dosing","Intermittent 'hit-and-run' (e.g. 2-3 days, repeated)",Investigational; dasatinib off-label,experimental,Dasatinib is a real chemo agent; no placebo-controlled hard-outcome win; DIY use hazardous,Cellular senescence; Chronic inflammation; Altered intercellular communication,"Hickson et al., EBioMedicine 2019 — 3-day D+Q reduced senescent-cell markers and SASP in patients [https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796530/] | Justice et al., EBioMedicine 2019 — Improved 6-min walk/gait in small IPF pilot [https://www.sciencedirect.com/science/article/pii/S2352396418306297]",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6796530/ | https://www.sciencedirect.com/science/article/pii/S2352396418306297
63,vitamin-k2-mk7,Vitamin K2 (MK-7),supplement,Fat-soluble vitamin,human-cohort,54,52,38,86,56,B,Carboxylates matrix-Gla protein (inhibits vascular calcification) and osteocalcin (bone),"Strong observational case (Rotterdam Study linked high intake to ~50% lower aortic calcification and ~25% lower all-cause mortality), with a well-established mechanism — but RCTs have been largely null on hard calcification/clinical endpoints.",Large cohort associations; RCTs mostly null on hard endpoints,"Strong observational + mechanism, but RCTs underwhelming",Very safe; interacts with warfarin,90-200 ug/day MK-7,OTC supplement,otc,'Reverses arterial calcification' claims rest on cohorts/surrogates; RCTs have largely failed to confirm,Altered intercellular communication; Chronic inflammation,"Geleijnse et al., Rotterdam Study — Highest K2 intake: ~25% lower all-cause mortality [https://doi.org/10.1093/jn/134.11.3100] | K2+D aortic-valve RCT, Circulation 2022 — No significant slowing of calcification [https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.121.057008]",https://doi.org/10.1093/jn/134.11.3100 | https://www.ahajournals.org/doi/10.1161/CIRCULATIONAHA.121.057008
64,silymarin-milk-thistle,Silymarin (Milk Thistle),botanical,Flavonolignan complex,human-rct-surrogate,56,56,32,84,56,B,Hepatoprotective antioxidant; reduces lipid peroxidation and inflammation in liver,"Best evidence is for liver biomarkers: meta-analyses show silymarin lowers transaminases and improves liver fat in NAFLD/NASH. Surrogate (enzymes/imaging), not histological hard outcomes; bioavailability poor. A liver-targeted, not general-longevity, agent.",ALT/AST reductions; modest liver-fat improvement,Good RCT/meta evidence for liver surrogates; no hard-outcome data,Very well tolerated; mild GI; CYP/UGT interactions,~420 mg/day silymarin,Supplement / liver-disease adjunct,otc,"Poor bioavailability; benefit is liver-specific, not systemic anti-aging",Chronic inflammation; Mitochondrial dysfunction; Genomic instability,NAFLD meta-analysis 2024 (26 trials) — Improved liver enzymes and hepatic fat [https://doi.org/10.1016/j.aohep.2023.101174],https://doi.org/10.1016/j.aohep.2023.101174
65,nicotinamide-riboside,NR (Nicotinamide Riboside),nad,NAD+ precursor (vitamin B3),human-rct-surrogate,52,55,35,80,55,C,"Converted via NMN to NAD+, supporting sirtuin/PARP/mitochondrial function","The best-studied NAD+ precursor in humans — dependably raises NAD+, but clinical benefits are limited and inconsistent and it did NOT extend lifespan in the rigorous ITP. The NICE trial improved 6-min walk only modestly; other trials were largely null.",Reliably raises NAD+; small/mostly-null clinical effects; no mouse lifespan extension,Many RCTs confirming NAD+ rise and safety; benefits modest/heterogeneous,Very good; safe up to 2 g/day in trials,300-1000 mg/day,Widely sold supplement,otc,Did NOT extend lifespan in the gold-standard ITP; biomarker change != healthspan benefit,Deregulated nutrient sensing; Mitochondrial dysfunction; Chronic inflammation,"NICE trial, Nat Commun 2024 — 1000 mg/d improved 6-min walk +17.6 m (small) [https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11176364/] | NIA ITP 2021 — NR did not extend mouse lifespan [https://doi.org/10.1111/acel.13328]",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11176364/ | https://doi.org/10.1111/acel.13328
66,melatonin,Melatonin,supplement,Indoleamine hormone,human-rct-surrogate,56,58,35,70,55,C,Circadian regulator; potent mitochondrial antioxidant and anti-inflammatory,"Strong for sleep-onset/circadian use and a good mitochondrial antioxidant, but longevity 'mortality benefit' claims rest on animal/mechanistic data. New 2025 cohort data link long-term use to higher heart-failure and mortality — possibly confounding, but it tempers the 'safe longevity supplement' narrative.",Reliable for sleep latency; mortality effect unproven and possibly adverse,"Good for sleep; longevity benefit unproven, 2025 safety signal",Short-term very safe; 2025 data flag possible HF/mortality association with chronic use,0.5-3 mg before bed,OTC (US); Rx in much of EU/UK,otc,"Hyped as anti-aging antioxidant, but human longevity evidence weak and a 2025 safety question exists",Mitochondrial dysfunction; Chronic inflammation; Altered intercellular communication,AHA 2025 cohort — Long-term use linked to ~89% higher incident HF and ~2x mortality (observational) [https://www.ahajournals.org/doi/10.1161/circ.152.suppl_3.4371606],https://www.ahajournals.org/doi/10.1161/circ.152.suppl_3.4371606
67,ashwagandha,Ashwagandha,botanical,Adaptogenic herb (withanolides),human-rct-surrogate,56,58,32,75,55,C,HPA-axis modulation lowering cortisol; GABAergic/serotonergic and antioxidant effects,"One of the better-supported adaptogens for stress: meta-analyses of ~15 RCTs show significant reductions in perceived stress, anxiety and cortisol. Short-term and symptom/biomarker based; no aging/lifespan outcomes.",Perceived-stress and cortisol reductions,Good short-term RCT evidence for stress/anxiety; no longevity endpoints,"Generally well tolerated short term; a recognized idiosyncratic cholestatic liver-injury signal (rare, incl. isolated acute liver failure); may affect thyroid; caution in autoimmune/pregnancy",300-600 mg/day standardized root extract,Supplement / Ayurvedic herb,otc,Perceived-stress benefit is contested across 2025 meta-analyses (cortisol reduction more consistent); a documented idiosyncratic liver-injury signal; extract heterogeneity,Altered intercellular communication; Chronic inflammation; Mitochondrial dysfunction,"Stress/anxiety meta-analysis, BJPsych Open 2025 — Reduced Perceived Stress Scale, HAM-A and serum cortisol [https://pmc.ncbi.nlm.nih.gov/articles/PMC12242034/]",https://pmc.ncbi.nlm.nih.gov/articles/PMC12242034/
68,oleuropein-olive-leaf,Oleuropein / Olive Leaf Extract,botanical,Secoiridoid phenolics,human-rct-surrogate,52,54,34,84,55,C,NO-mediated vasodilation and antioxidant signaling; modest insulin-sensitizing effects,RCT meta-analyses show olive leaf extract lowers systolic BP (~4-5 mmHg) and triglycerides; olive polyphenol (hydroxytyrosol) carries an EFSA claim for LDL-oxidation protection. Surrogate endpoints; no hard-outcome RCT.,SBP -4-5 mmHg; triglyceride reductions,RCT/meta evidence for BP/lipid surrogates; no hard-outcome data,Very well tolerated; additive with antihypertensives,~500-1000 mg/day OLE,Supplement (EFSA olive-polyphenol claim),otc,Glucose effects inconsistent; oleuropein content varies,Altered intercellular communication; Chronic inflammation; Deregulated nutrient sensing,OLE CV meta-analysis 2022 (12 studies) — SBP -3.9 mmHg; in hypertensives SBP -4.8 mmHg [https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9585795/],https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9585795/
69,red-light-therapy-pbm,Red Light Therapy / Photobiomodulation,thermal,Photobiomodulation,human-rct-surrogate,52,55,38,80,55,C,Red/near-infrared photons absorbed by cytochrome c oxidase boost mitochondrial ATP and modulate inflammation,"The mechanism is well established, and human RCTs support specific dermatologic (wrinkles, wound healing) and musculoskeletal pain endpoints. An umbrella review found benefits across outcomes but rated certainty low-to-moderate with non-standardized protocols; no aging/lifespan outcomes.","Outcome-specific: skin rejuvenation, wound healing, some pain",Multiple RCTs for surrogate endpoints; nothing on aging/lifespan,Very safe for skin; eye protection needed; dose-response is biphasic,"630-850nm, ~10-60 J/cm2, minutes per area",FDA-cleared for specific indications; broad anti-aging claims unproven,otc,Strong mechanism but longevity claims extrapolate from surrogate/in-vitro data; protocols not standardized,Mitochondrial dysfunction; Chronic inflammation; Altered intercellular communication,"Umbrella review, Syst Rev 2025 — Improved pain/skin/mucositis outcomes; certainty low-to-moderate [https://doi.org/10.1186/s13643-025-02902-3]",https://doi.org/10.1186/s13643-025-02902-3
70,whole-body-vibration,Whole-Body Vibration,therapy,Mechanical/neuromuscular stimulus,human-rct-surrogate,54,58,32,80,55,C,Mechanical accelerations stimulate reflexive muscle contraction and bone mechanotransduction,"Meta-analyses in older adults show modest, region-specific bone-density gains and improved strength/balance/fall measures, but effects are inconsistent across skeletal sites. No mortality or systemic aging outcomes.",Small site-specific BMD gains; modest strength/balance improvement,RCTs positive for BMD/strength surrogates; no longevity data,"Generally safe; caution with thrombosis, recent fractures, pregnancy","~20-40 Hz, minutes/session, 3x/wk",Used in physiotherapy/fitness,otc,"Benefits modest, site-dependent, limited to musculoskeletal surrogates",Stem cell exhaustion; Altered intercellular communication,"WBV meta-analysis 2026 (1,447 older adults) — BMD gains at trochanter/Ward's; inconsistent at femoral neck/spine across meta-analyses [https://doi.org/10.1186/s12891-026-09504-7]",https://doi.org/10.1186/s12891-026-09504-7
